CNPJ 1,CNPJ 2,CNPJ 3,NOME FANTASIA,SITUACAO CADASTRAL,CNAE 1,CNAE 2,UF,Municipio
18280996,1,0,BRIEX CONSULTING,8,4751201,"9511800,8599603,6190699",RS,8841
18873800,1,82,OCTOS TECNOLOGIA,2,4751201,"4759899,9511800",RS,8841
21924181,1,12,TERRITORIO GAMES,2,4751201,"4753900,8599603,6190699,4752100",RS,8841
22051648,1,20,TICKET PRATICO,8,4751201,9511800,RS,8841
22074735,1,0,S&M INFORMATICA E JOGOS,4,4751201,"9511800,6190699,4751202",RS,8841
24607171,1,41,FS PIRES,8,4751201,"8599603,8599604,8219999,5819100",RS,8841
26276426,1,66,M&S SOLUCOES,2,4751201,"9511800,4752100,6190699,4321500,4759899,9512600,4753900",RS,8841
29667694,1,5,PABLOCM,8,4751201,"9511800,4753900,4781400,6190699,4752100",RS,8841
34595563,1,91,FIT ONE,2,6202300,"6201501,6204000,6209100,6311900,6319400,6462000,6619302,6619399,7020400,7319003,7490104,7739099,7740300,8211300,8230001,8291100,8299799,8599603,8599604",RS,8841
34945690,1,73,ProAVintercom,2,4751201,"4752100,4753900,4789008",RS,8841
35779475,1,2,DGMCOM SOLUCOES EM TI,2,4751201,"9521500,9511800,4752100,3314707,4322302,9512600",RS,8841
11151576,3,38,KB TECH - UNIDADE PATRONATO,2,4751201,"4752100,6209100,7490104",RS,8841
35084499,1,47,RN LICITACOES,4,4751201,"9511800,8130300,8599603,0161002,0161003",RS,8841
41152017,1,41,CARVALHO IMPORTACOES,2,4751201,"9511800,6190699,9512600,8599603,4789007",RS,8841
42096831,3,10,CLICKLOGISTICA,8,4751201,"4930201,4930202,5250803,5250804,5320202,9511800",RS,8841
42408002,1,64,,8,4751201,"4752100,6209100",RS,8841
42612529,1,6,WSC,2,4751201,"4789003,8599699,4729699,4785799,4756300",RS,8841
43619137,1,31,LUKABEN VARIEDADES E ACESSORIOS,8,4751201,"4752100,9511800,7319002,9512600",RS,8841
45000724,1,73,SILICON ECOMMERCE,8,4751201,"4742300,9511800,4530703,4530704,4773300,4757100,4752100,4541206,4763603,4763601,4753900,4785799,4789007",RS,8841
46855214,1,40,LOJAS VEZLA E-COMMERCE,2,4751201,"4789099,4773300,4772500,4756300,4781400,4763602,4755503,4763601,4753900,4744001,4782201,4789007,4783102,4789004,4783101",RS,8841
47930436,1,43,ANGELUS DIGITAL,2,6202300,"6201501,6203100,6204000,6209100,7420001,7420002",RS,8841
49298836,1,3,,8,6202300,6201501,RS,8841
51128431,1,79,HAMILTON RICARDO CARGNIN COLVERO,2,4751201,"9511800,6190699,8599603",RS,8841
51526490,1,3,RC SISTEMAS,2,4751201,,RS,8841
5057876,1,98,,8,4751201,,RS,8841
5067474,1,74,,8,4751201,,RS,8841
93831238,1,40,,8,4751201,,RS,8841
5157742,1,49,FATIN CARTAO DE DESCONTOS,4,4751201,,RS,8841
5211428,1,5,EXCHANGE INFORMATICA,8,4751201,,RS,8841
5358073,1,73,WORK CONNECTION,8,4751201,,RS,8841
5414390,1,60,,8,4751201,"8219999,8299799",RS,8841
4188362,1,9,,8,4751201,,RS,8841
6105195,1,10,UNIVERSAL CYBER CAFE,8,4751201,,RS,8841
4647956,1,30,,8,4751201,,RS,8841
1282005,1,17,,4,4751201,,RS,8841
2945676,1,83,ADF TELEMATICA,8,4751201,,RS,8841
7121579,1,90,SOS COMPUTADORES,4,4751201,,RS,8841
5619569,1,53,JAVE INFORMATICA,8,4751201,"9329804,9511800,4669999",RS,8841
6863086,1,62,FASTCELL MANUTENCAO DE CELULARES,8,4751201,,RS,8841
4220637,1,44,FRAGATA SOFTWARE,8,4751201,,RS,8841
9199505,1,0,,8,4751201,"4649401,4664800,4691500,4744099,4761003,4763602,4773300,4781400",RS,8841
9521945,1,23,ORANGE DIGITAL,2,4751201,"9511800,6209100,4753900,4763601",RS,8841
9578989,1,90,,8,6202300,6203100,RS,8841
11293310,1,68,PRS MONITORAMENTO 24 HS,2,4751201,"3329599,4399199,4729699,4744099,4759899,4789004,6209100,6311900,8011101,8020001,8111700,8121400,8129000,8211300,8299799,9521500,9529199,9700500",RS,8841
13411562,1,70,PJFIT,2,6202300,"6201501,6204000,6209100,6311900,6319400,6619302,6619399,7020400,7319003,7490104,7739099,7740300,8211300,8230001,8291100,8299799,8599603,8599604",RS,8841
18530324,1,5,STREAMDESIGN,8,4751201,"7420004,4753900,5912002,9511800",RS,8841
19369722,1,46,,4,4751201,8219999,RS,8841
20858518,1,78,MANIA KIDS,2,4751201,"4752100,9511800,4789099,4781400,6190699,9512600,4763601,4753900",RS,8841
24439682,1,0,BONI ACESSORIOS,8,4751201,4752100,RS,8841
25199690,1,80,DO CANTO CARTUCHOS,8,4751201,,RS,8841
27323290,1,60,,2,6202300,"6201501,6203100,6204000,6209100,7490199,7729202",RS,8841
27722601,1,64,MEGA PROSOLUTIONS,2,6202300,"7020400,7733100,8219901",RS,8841
93359040,20,78,,8,4751201,"4752100,4754701,7490104",RS,8841
22949096,14,96,,8,4751201,6319400,RS,8841
29606872,1,80,LIF INFORMATICA,8,4751201,"9511800,8599603,4751202",RS,8841
32773890,1,60,DALCIN DISTRIBUIDORA,4,4751201,4789007,RS,8841
32774171,1,64,INFOTEC SUL,4,4751201,"4752100,4789007,4789008",RS,8841
36997472,1,8,IDEALFARM,8,6202300,"6204000,8599603",RS,8841
37981036,1,3,BE SMART,2,4751201,"9001906,6190699,4713002,4753900,4754703,4789007",RS,8841
40681018,1,10,KOPPETECH,2,4751201,"9511800,4752100,6190699,8599603,9512600,4789007",RS,8841
41274793,1,14,JC INFORMATICA,8,4751201,"9001906,9511800,4752100,4321500,4762800,4753900,4789008,4757100",RS,8841
36500753,1,3,SPEED INFORMATICA,2,4751201,"4321500,4742300,7733100,9511800",RS,8841
44114490,1,22,ARION MAIS,2,6202300,"6204000,6209100,6399200,7490104,8299799",RS,8841
48344879,1,15,,2,6202300,"6203100,6209100,8599603",RS,8841
48900960,1,34,DANIEL VARGAS MUCCILLO,2,6202300,"6204000,6209100",RS,8841
49408562,1,68,PEDRO GUERRA FOCKING,2,4751201,,RS,8841
92839562,1,41,MG INFORMATICA E SUPRIMENTOS,8,4751201,,RS,8841
1815322,1,51,INTELEC,8,4751201,"6209100,6311900,6203100,9511800,4761003",RS,8841
95607297,1,64,LOJA SIBRAMA,2,4751201,,RS,8841
1920682,1,13,,8,4751201,,RS,8841
3805906,1,71,HOP.COM.BR,4,4751201,,RS,8841
2126913,1,84,ROSSOFT COMERCIO E SISTEMAS,8,4751201,,RS,8841
7430268,1,2,SULTEC,4,4751201,,RS,8841
3894686,1,8,,4,4751201,,RS,8841
2511548,1,21,,2,4651601,"3312102,4321500,4322302,4651602,4663000,4665600,4742300,4744001,4751201,4752100,4753900,4754701,4756300,4757100,4759801,4759899,4761003,4763601,4763603,4789007,4789008,7733100,8020001,8599603,9511800,9512600",RS,8841
5922010,1,6,CLASSIC INFORMATICA,8,4751201,,RS,8841
47379565,88,46,,8,4751201,"6201501,9511800,6204000,7733100,7020400,6209100,6203100",RS,8841
1239283,1,91,LOGICA TREINAMENTO EM INFORMATICA,8,4751201,"4729699,4753900,8219999",RS,8841
6789829,1,0,INKPLUS,4,4751201,,RS,8841
87396693,3,23,,8,4751201,9511800,RS,8841
93109049,3,20,,4,4751201,,RS,8841
93359040,10,4,,2,4751201,"4752100,4754701,7490104",RS,8841
89685838,1,70,CHAVESINOS,4,4651601,4651602,RS,8841
91822171,1,51,DATA LABEL INFORMATICA,8,4751201,,RS,8841
7677442,1,16,DIDATICA INFORMATICA LTDA,2,4751201,8599603,RS,8841
7976227,1,16,KLINIKON CONSULTORIO TECNOLOGICO,2,4751201,"9511800,6209100",RS,8841
406500,1,28,,4,4751201,"4781400,4762800,4759899,4642701",RS,8841
804421,1,75,,2,4751201,,RS,8841
4959488,1,30,MUNDO CYBER,4,4751201,,RS,8841
5296815,1,83,,4,4751201,,RS,8841
977521,1,1,GLOBAL ASSESSORIA MATERIAIS E SERVICOS,8,4751201,,RS,8841
91142158,1,51,CONSTRUTORA ROSA,2,4751201,8219901,RS,8841
8311484,1,0,,8,4751201,,RS,8841
9187193,1,6,CONCEITTO SISTEMAS,2,4751201,"6209100,6201501,6202300,6203100,8599604,6399200,3321000,2790202,2869100",RS,8841
10750342,1,82,,8,4751201,"2640000,2621300,2622100,4752100",RS,8841
11406375,1,72,CIA DOS MONITORES,8,4751201,9511800,RS,8841
12328789,1,93,LENZ REFRIGERACAO E SISTEMA DE SEGURANCA,2,4751201,"4321500,4322302,4742300,4744001,4744099,4751202,4753900,4761003,4762800,6209100,9511800",RS,8841
13502875,1,33,SUL NORTE DISTRIBUIDORA,8,4751201,"4755503,4742300,4789099,4752100,4530703,4759899,4789007,4763604,4772500,4744001",RS,8841
13676084,1,20,RECICLE CARTUCHOS,4,4751201,9511800,RS,8841
11743769,1,16,,8,6202300,6201501,RS,8841
16656277,1,7,,8,4751201,,RS,8841
20136195,1,9,,2,4751201,"4789007,9511800,7733100,8219901",RS,8841
23201390,1,63,GM GAMES,8,4751201,4762800,RS,8841
26024878,1,50,RSTELECOM,8,4751201,"9511800,8599603,4752100,4321500,7319003,4751202",RS,8841
27208616,1,9,MANUTENCAO,4,4751201,,RS,8841
27899929,1,50,FIRST IMPORT,8,4751201,"4752100,4759899",RS,8841
30823699,1,50,VSS REPRESENTACOES,8,4751201,"5819100,9511800,6190699,7319003,7319002,4773300,4752100,4729699,3240099,8599604,8599603,4753900,4789007,4789004,4789005",RS,8841
30838325,1,9,CRIR,2,6202300,"3811400,7020400,8211300,8599699",RS,8841
31163510,1,3,D-PAMPA,2,4751201,"9512600,9511800,4753900,6190699,4754701,4752100,4321500,4759899,4789007",RS,8841
31576784,1,24,PIERIN.COM,2,6202300,"6203100,6204000,6209100,6311900,8211300,8291100",RS,8841
35489333,1,0,TECH 10 TECNOLOGIA E INFORMATICA,2,4751201,"9511800,6190699,7733100,9512600,4772500,3321000,4752100,9521500,4322302,4321500,4759899,4753900,4761003,4744001,4789007",RS,8841
37711573,1,33,SETLINE ACESSORIOS LTDA,8,4751201,"4752100,4789099,4753900,4754703,4789008,4785799,4756300,4789007,4757100",RS,8841
42053792,1,2,,8,4751201,"4772500,8592902,8230001,7420004,4752100,4781400,8599699,4759899,4755503,4763602,4763601,4753900,4782201,4789007,4789004",RS,8841
44759881,1,2,,2,6202300,"6204000,6209100",RS,8841
48259051,1,69,TSJPA TECNOLOGIA,2,6202300,"6203100,6201501",RS,8841
48283611,1,10,BRED CAPAS,2,4751201,"4752100,4757100,6190699,9512600",RS,8841
49185406,1,85,ELLO SYSTEN'S,2,4751201,4752100,RS,8841
